level_name,direction,horizon,target_pct,stop_pct,n,n_base,hit,base_hit,hit_lift,exp,base_exp,edge
poc,momentum,3,0.01,0.005,116,273,0.39655172413793105,0.2893772893772894,0.10717443476064165,0.0009482758620689654,-0.0006410256410256408,0.0015893015030946063
poc,momentum,3,0.01,0.01,116,273,0.5258620689655172,0.4725274725274725,0.053334596438044723,0.0008620689655172412,-0.0002930402930402933,0.0011551092585575344
poc,momentum,3,0.01,0.015,116,273,0.603448275862069,0.5641025641025641,0.03934571175950485,0.002025862068965518,0.0003663003663003666,0.0016595617026651513
poc,momentum,3,0.01,0.02,116,273,0.6206896551724138,0.6043956043956044,0.016294050776809454,0.002586206896551724,0.0004761904761904766,0.0021100164203612477
poc,momentum,3,0.01,0.03,116,273,0.6206896551724138,0.6263736263736264,-0.0056839712012125565,0.0018103448275862066,0.0029670329670329672,-0.0011566881394467607
poc,momentum,3,0.015,0.005,116,273,0.29310344827586204,0.23076923076923078,0.06233421750663126,0.0009913793103448274,-0.0002930402930402929,0.0012844196033851203
poc,momentum,3,0.015,0.01,116,273,0.3879310344827586,0.34798534798534797,0.03994568649741065,0.0006465517241379307,-0.00031135531135531125,0.000957907035493242
poc,momentum,3,0.015,0.015,116,273,0.4482758620689655,0.4175824175824176,0.030693444486547927,0.0020689655172413794,0.00032967032967032994,0.0017392951875710495
poc,momentum,3,0.015,0.02,116,273,0.47413793103448276,0.4468864468864469,0.027251484148035854,0.0033189655172413787,0.0005494505494505491,0.0027695149677908295
poc,momentum,3,0.015,0.03,116,273,0.47413793103448276,0.45787545787545786,0.016262473159024904,0.00271551724137931,0.002912087912087912,-0.00019657067070860202
poc,momentum,3,0.02,0.005,116,273,0.21551724137931033,0.15018315018315018,0.06533409119616015,0.0008189655172413791,-0.000897435897435897,0.0017164014146772762
poc,momentum,3,0.02,0.01,116,273,0.27586206896551724,0.23809523809523808,0.037766830870279156,0.0,-0.0010989010989010991,0.0010989010989010991
poc,momentum,3,0.02,0.015,116,273,0.3275862068965517,0.2857142857142857,0.041871921182266014,0.0016379310344827591,-0.00038461538461538456,0.002022546419098144
poc,momentum,3,0.02,0.02,116,273,0.35344827586206895,0.2967032967032967,0.056744979158772246,0.002931034482758621,-0.0005128205128205125,0.0034438549955791336
poc,momentum,3,0.02,0.03,116,273,0.35344827586206895,0.30036630036630035,0.053081975495768596,0.002413793103448276,0.0018315018315018324,0.0005822912719464436
poc,momentum,3,0.03,0.005,116,273,0.10344827586206896,0.07326007326007326,0.0301882026019957,-0.0004741379310344832,-0.0017216117216117218,0.0012474737905772387
poc,momentum,3,0.03,0.01,116,273,0.12931034482758622,0.12454212454212454,0.004768220285461672,-0.0018965517241379317,-0.002124542124542125,0.00022799040040419327
poc,momentum,3,0.03,0.015,116,273,0.1724137931034483,0.1575091575091575,0.014904635594290783,0.0,-0.0013736263736263737,0.0013736263736263737
poc,momentum,3,0.03,0.02,116,273,0.1724137931034483,0.16483516483516483,0.007578628268283455,0.0008620689655172412,-0.0015018315018315023,0.0023639004673487434
poc,momentum,3,0.03,0.03,116,273,0.1724137931034483,0.1684981684981685,0.003915624605279777,0.0005172413793103443,0.0008791208791208791,-0.0003618794998105348
poc,fade,5,0.005,0.005,116,273,0.28448275862068967,0.3626373626373626,-0.07815460401667296,-0.0021551724137931034,-0.0013736263736263737,-0.0007815460401667297
poc,fade,5,0.005,0.01,116,273,0.5,0.575091575091575,-0.07509157509157505,-0.0024999999999999996,-0.0013736263736263733,-0.0011263736263736263
poc,fade,5,0.005,0.015,116,273,0.646551724137931,0.6959706959706959,-0.04941897183276489,-0.0020689655172413794,-0.0010256410256410254,-0.001043324491600354
poc,fade,5,0.005,0.02,116,273,0.7327586206896551,0.7728937728937729,-0.040135152204117786,-0.0016810344827586207,-0.0005311355311355312,-0.0011498989516230895
poc,fade,5,0.005,0.03,116,273,0.7844827586206896,0.8168498168498168,-0.03236705822912722,-0.0004741379310344827,0.0003479853479853479,-0.0008221232790198306
poc,fade,5,0.01,0.005,116,273,0.2413793103448276,0.28205128205128205,-0.04067197170645445,-0.0013362068965517239,-0.0007509157509157508,-0.000585291145635973
poc,fade,5,0.01,0.01,116,273,0.4224137931034483,0.43956043956043955,-0.017146646456991266,-0.0014655172413793106,-0.0011721611721611724,-0.0002933560692181382
poc,fade,5,0.01,0.015,116,273,0.5603448275862069,0.5677655677655677,-0.007420740179360896,-0.0007327586206896549,-0.0004212454212454212,-0.00031151319944423367
poc,fade,5,0.01,0.02,116,273,0.6379310344827587,0.6227106227106227,0.015220411772135956,-0.00034482758620689685,-0.00043956043956043994,9.473285335354309e-05
poc,fade,5,0.01,0.03,116,273,0.6810344827586207,0.652014652014652,0.029019830743968633,0.0016379310344827591,0.0005860805860805866,0.0010518504484021726
poc,fade,5,0.015,0.005,116,273,0.20689655172413793,0.23076923076923078,-0.023872679045092854,-0.0008189655172413796,-0.00036630036630036625,-0.0004526651509410133
poc,fade,5,0.015,0.01,116,273,0.3103448275862069,0.34798534798534797,-0.037640520399141064,-0.0020689655172413794,-0.0011904761904761904,-0.000878489326765189
poc,fade,5,0.015,0.015,116,273,0.3793103448275862,0.4468864468864469,-0.06757610205886072,-0.0025862068965517245,-0.0006593406593406591,-0.0019268662372110654
poc,fade,5,0.015,0.02,116,273,0.4482758620689655,0.4835164835164835,-0.035240621447517995,-0.0018965517241379308,-0.0008058608058608066,-0.001090690918277124
poc,fade,5,0.015,0.03,116,273,0.4827586206896552,0.5018315018315018,-0.01907288114184663,0.00025862068965517264,-0.0001648351648351662,0.00042345585449033883
poc,fade,5,0.02,0.005,116,273,0.16379310344827586,0.18315018315018314,-0.01935707970190728,-0.0007327586206896553,-0.0003479853479853479,-0.0003847732727043074
poc,fade,5,0.02,0.01,116,273,0.22413793103448276,0.2857142857142857,-0.061576354679802936,-0.0025862068965517245,-0.0010989010989010991,-0.0014873057976506254
poc,fade,5,0.02,0.015,116,273,0.2672413793103448,0.358974358974359,-0.09173297966401417,-0.003577586206896551,-0.001007326007326007,-0.0025702601995705437
poc,fade,5,0.02,0.02,116,273,0.3275862068965517,0.3882783882783883,-0.060692181381836574,-0.002758620689655173,-0.0013186813186813182,-0.0014399393709738548
poc,fade,5,0.02,0.03,116,273,0.35344827586206895,0.40293040293040294,-0.04948212706833399,-0.0006896551724137917,-0.0002930402930402917,-0.00039661487937350006
poc,fade,5,0.03,0.005,116,273,0.1206896551724138,0.12454212454212454,-0.0038524693697107454,-0.0004741379310344832,-0.00038461538461538456,-8.952254641909864e-05
poc,fade,5,0.03,0.01,116,273,0.15517241379310345,0.19047619047619047,-0.03530377668308701,-0.0025000000000000005,-0.0013919413919413915,-0.001108058608058609
poc,fade,5,0.03,0.015,116,273,0.1896551724137931,0.23443223443223443,-0.04477706201844134,-0.0034913793103448277,-0.0015384615384615382,-0.0019529177718832895
poc,fade,5,0.03,0.02,116,273,0.20689655172413793,0.25274725274725274,-0.04585070102311481,-0.0036206896551724153,-0.001868131868131869,-0.0017525577870405463
poc,fade,5,0.03,0.03,116,273,0.21551724137931033,0.2600732600732601,-0.04455601869394976,-0.0020689655172413794,-0.000989010989010989,-0.0010799545282303904
poc,momentum,5,0.005,0.005,116,273,0.46551724137931033,0.3443223443223443,0.12119489705696601,-0.00034482758620689636,-0.0015567765567765567,0.0012119489705696602
poc,momentum,5,0.005,0.01,116,273,0.6379310344827587,0.5824175824175825,0.055513452065176216,-0.00034482758620689685,-0.0012271062271062274,0.0008822786408993306
poc,momentum,5,0.005,0.015,116,273,0.7413793103448276,0.7032967032967034,0.03808260704812427,-4.3103448275862106e-05,-0.0008791208791208791,0.000836017430845017
poc,momentum,5,0.005,0.02,116,273,0.7758620689655172,0.7838827838827839,-0.008020714917266636,8.620689655172421e-05,-0.00010989010989010998,0.0001960970064418342
poc,momentum,5,0.005,0.03,116,273,0.7931034482758621,0.8168498168498168,-0.023746368573954735,-0.0004310344827586206,0.0001282051282051279,-0.0005592396109637485
poc,momentum,5,0.01,0.005,116,273,0.39655172413793105,0.29304029304029305,0.103511431097638,0.0009482758620689654,-0.0006043956043956041,0.0015526714664645695
poc,momentum,5,0.01,0.01,116,273,0.5258620689655172,0.48717948717948717,0.03868258178603007,0.0006034482758620686,-0.00021978021978021997,0.0008232284956422886
poc,momentum,5,0.01,0.015,116,273,0.6637931034482759,0.6117216117216118,0.05207149172666414,0.0018534482758620697,0.0004578754578754579,0.001395572817986612
poc,momentum,5,0.01,0.02,116,273,0.6982758620689655,0.6703296703296703,0.027946191739295245,0.002327586206896552,0.0007692307692307691,0.001558355437665783
poc,momentum,5,0.01,0.03,116,273,0.7068965517241379,0.706959706959707,-6.315523556910119e-05,0.0021551724137931043,0.0012454212454212456,0.0009097511683718586
poc,momentum,5,0.015,0.005,116,273,0.3017241379310345,0.24175824175824176,0.059965896172792715,0.0010344827586206897,-0.00014652014652014666,0.0011810029051408364
poc,momentum,5,0.015,0.01,116,273,0.41379310344827586,0.38461538461538464,0.02917771883289122,0.0005172413793103443,-0.00012820512820512872,0.000645446507515473
poc,momentum,5,0.015,0.015,116,273,0.5344827586206896,0.4835164835164835,0.050966275104206094,0.0020689655172413794,0.00043956043956043994,0.0016294050776809394
poc,momentum,5,0.015,0.02,116,273,0.5862068965517241,0.5384615384615384,0.04774535809018565,0.0032758620689655174,0.0007509157509157511,0.0025249463180497663
poc,momentum,5,0.015,0.03,116,273,0.603448275862069,0.5641025641025641,0.03934571175950485,0.0031034482758620697,0.001208791208791209,0.0018946570670708607
poc,momentum,5,0.02,0.005,116,273,0.25,0.19413919413919414,0.05586080586080586,0.0012499999999999996,-0.00010989010989010998,0.0013598901098901095
poc,momentum,5,0.02,0.01,116,273,0.33620689655172414,0.32234432234432236,0.013862574207401779,0.00034482758620689685,0.00010989010989010998,0.00023493747631678685
poc,momentum,5,0.02,0.015,116,273,0.4224137931034483,0.3992673992673993,0.023146393836048995,0.001594827586206897,0.0006776556776556786,0.0009171719085512185
poc,momentum,5,0.02,0.02,116,273,0.46551724137931033,0.4468864468864469,0.018630794492863423,0.002758620689655173,0.001025641025641025,0.001732979664014148
poc,momentum,5,0.02,0.03,116,273,0.49137931034482757,0.4652014652014652,0.026177845143362355,0.0036206896551724153,0.0015018315018315023,0.0021188581533409133
poc,momentum,5,0.03,0.005,116,273,0.13793103448275862,0.11721611721611722,0.020714917266641403,0.00017241379310344794,-0.0006043956043956045,0.0007768093974990524
poc,momentum,5,0.03,0.01,116,273,0.1724137931034483,0.19413919413919414,-0.021725401035745856,-0.0016379310344827591,-0.0007326007326007333,-0.0009053303018820259
poc,momentum,5,0.03,0.015,116,273,0.23275862068965517,0.25274725274725274,-0.019988632057597572,-0.00025862068965517264,0.0,-0.00025862068965517264
poc,momentum,5,0.03,0.02,116,273,0.25862068965517243,0.27472527472527475,-0.016104585070102317,0.0006896551724137917,0.00010989010989010917,0.0005797650625236826
poc,momentum,5,0.03,0.03,116,273,0.28448275862068967,0.2893772893772894,-0.004894530756599735,0.0020689655172413794,0.0007692307692307691,0.0012997347480106104
vah,fade,1,0.005,0.005,110,273,0.3090909090909091,0.358974358974359,-0.04988344988344989,-0.001818181818181818,-0.0013186813186813187,-0.0004995004995004993
vah,fade,1,0.005,0.01,110,273,0.42727272727272725,0.5238095238095238,-0.09653679653679659,-0.0017727272727272726,-0.0007875457875457879,-0.0009851814851814847
vah,fade,1,0.005,0.015,110,273,0.5272727272727272,0.5934065934065934,-0.06613386613386618,-0.00022727272727272746,0.0007142857142857145,-0.0009415584415584419
vah,fade,1,0.005,0.02,110,273,0.5727272727272728,0.6263736263736264,-0.05364635364635362,0.001409090909090909,0.0017399267399267398,-0.0003308358308358307
vah,fade,1,0.005,0.03,110,273,0.5727272727272728,0.6446886446886447,-0.07196137196137198,0.0020454545454545456,0.0026739926739926738,-0.0006285381285381282
vah,fade,1,0.01,0.005,110,273,0.22727272727272727,0.21611721611721613,0.011155511155511139,-0.001090909090909091,-0.0009523809523809524,-0.00013852813852813857
