ticker,session_date,entry_rule,exit_rule,status,entry_idx,exit_idx,entry_price,exit_price,entry_ts,exit_ts,bars_held,underlying_pnl,underlying_pct,hit_daily_target,hit_daily_stop
NVDA,2026-03-02,B,Y,ok,0.0,1.0,176.36,177.717,2026-03-02 09:30:00-05:00,2026-03-02 09:31:00-05:00,1.0,1.3569999999999993,0.007694488546155586,False,False
NVDA,2026-03-02,B,Z,ok,0.0,92.0,176.36,180.19,2026-03-02 09:30:00-05:00,2026-03-02 11:02:00-05:00,92.0,3.829999999999984,0.02171694261737346,True,False
NVDA,2026-03-02,C,X,ok,0.0,3.0,176.36,178.78,2026-03-02 09:30:00-05:00,2026-03-02 09:33:00-05:00,3.0,2.4199999999999875,0.013721932410977473,True,False
NVDA,2026-03-02,C,Y,ok,0.0,1.0,176.36,177.717,2026-03-02 09:30:00-05:00,2026-03-02 09:31:00-05:00,1.0,1.3569999999999993,0.007694488546155586,False,False
NVDA,2026-03-02,C,Z,ok,0.0,92.0,176.36,180.19,2026-03-02 09:30:00-05:00,2026-03-02 11:02:00-05:00,92.0,3.829999999999984,0.02171694261737346,True,False
JPM,2026-03-03,A,X,ok,0.0,134.0,290.39,297.559,2026-03-03 09:30:00-05:00,2026-03-03 11:44:00-05:00,134.0,7.16900000000004,0.02468748923861028,True,False
JPM,2026-03-03,A,Y,ok,0.0,2.0,290.39,291.56,2026-03-03 09:30:00-05:00,2026-03-03 09:32:00-05:00,2.0,1.170000000000016,0.0040290643617205,False,False
JPM,2026-03-03,A,Z,ok,0.0,14.0,290.39,290.44,2026-03-03 09:30:00-05:00,2026-03-03 09:44:00-05:00,14.0,0.05000000000001137,0.00017218223768040005,False,False
JPM,2026-03-03,B,—,skipped_entry,,,,,,,,,,,
JPM,2026-03-03,C,X,ok,1.0,134.0,290.65,297.559,2026-03-03 09:31:00-05:00,2026-03-03 11:44:00-05:00,133.0,6.909000000000049,0.023770858420781176,True,False
