ticker,session_date,entry_open,prior_close,prior_poc,prior_val,prior_vah,gap_pct,target_px,stop_px,outcome,exit_px,exit_date,bars_held,underlying_pnl,underlying_pct,status,symbol,expiry,strike,entry_opt,exit_opt,opt_pnl,opt_pnl_pct
SPY,2024-05-29,525.68,529.87,529.52,528.52,530.02,-0.007907599977353038,529.52,521.4899999999999,stop,521.4899999999999,2024-05-30,1,-4.190000000000055,-0.00797062851925136,ok,SPY240531C00526000,2024-05-31,526.0,2.2,1.06,-114.00000000000001,-0.5181818181818182
JPM,2024-05-29,198.0,199.57,199.58,198.88,199.68,-0.007866913864809305,199.58,196.43,target,199.58,2024-05-30,1,1.5800000000000125,0.007979797979798043,ok,JPM240531C00197500,2024-05-31,197.5,1.66,1.75,9.000000000000007,0.05421686746987957
SPY,2024-05-30,524.52,526.11,526.38,526.02,527.12,-0.003022181673034217,526.38,522.93,target,526.38,2024-05-31,1,1.8600000000000136,0.0035460992907801678,ok,SPY240531C00525000,2024-05-31,525.0,1.73,0.03,-170.0,-0.9826589595375722
JPM,2024-06-04,200.16,201.8,201.18,200.33,202.33,-0.00812685827552039,201.18,198.51999999999998,stop,198.51999999999998,2024-06-05,1,-1.6400000000000148,-0.00819344524380503,ok,JPM240607C00200000,2024-06-07,200.0,1.8,0.48,-132.0,-0.7333333333333334
JPM,2024-06-10,199.24,199.95,200.03,199.82,200.68,-0.0035508877219303805,200.03,198.53000000000003,stop,198.53000000000003,2024-06-11,1,-0.7099999999999795,-0.003563541457538544,ok,JPM240614C00200000,2024-06-14,200.0,1.63,0.29,-134.0,-0.8220858895705521
JPM,2024-06-11,197.91,199.55,199.68,199.03,199.88,-0.008218491606113829,199.68,196.26999999999998,stop,196.26999999999998,2024-06-12,1,-1.6400000000000148,-0.008286594916881485,ok,JPM240614C00197500,2024-06-14,197.5,1.59,0.25,-134.0,-0.8427672955974843
JPM,2024-06-14,191.45,193.59,193.73,192.43,194.58,-0.011054289994317965,193.73,189.30999999999997,target,193.73,2024-06-17,1,2.280000000000001,0.011909114651345006,ok,JPM240621C00190000,2024-06-21,190.0,3.0,5.0,200.0,0.6666666666666666
SPY,2024-06-21,544.4,546.95,546.98,545.38,548.38,-0.004662217752993999,546.98,541.8499999999999,target,546.98,2024-06-28,5,2.580000000000041,0.004739162380602574,ok,SPY240628C00544000,2024-06-28,544.0,4.11,3.54,-57.00000000000003,-0.13868613138686137
JPM,2024-06-25,198.09,198.87,198.43,198.28,198.88,-0.0039221602051591545,198.43,197.31,stop,197.31,2024-06-26,1,-0.7800000000000011,-0.0039376041193396995,ok,JPM240628C00197500,2024-06-28,197.5,2.29,1.33,-96.0,-0.4192139737991266
JPM,2024-06-26,197.45,198.09,198.18,197.98,199.13,-0.0032308546620223874,198.18,196.80999999999997,target,198.18,2024-06-27,1,0.7300000000000182,0.0036971385160801127,ok,JPM240628C00197500,2024-06-28,197.5,1.55,2.44,88.99999999999999,0.5741935483870967
