split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos,sum_edge
train,S4,val,0.75,1.0,353,0.5807365439093485,0.4192634560906516,0.0,0.016288951841359773,29,0.6551724137931034,0.14655172413793102,-0.025220842401741134,-0.04469476744186047,0.0415097942431009,0.19124649157979148,0.23275628582289237
train,S4,prior_low,1.0,1.5,291,0.6288659793814433,0.3470790378006873,0.024054982817869417,0.10824742268041238,33,0.6363636363636364,0.09090909090909091,-0.008449622327486878,-0.024709302325581394,0.11669704500789925,0.11561839323467231,0.23231543824257156
train,S3,poc,0.3,1.0,415,0.7469879518072289,0.25060240963855424,0.0024096385542168677,-0.02650602409638554,23,0.8695652173913043,0.13043478260869565,-0.06232236589425169,-0.055232558139534885,0.03581634179786615,0.18566734074823055,0.22148368254609668
train,S3,prior_high,0.5,1.0,331,0.6586102719033232,0.3413897280966767,0.0,-0.012084592145015106,26,0.7692307692307693,0.15384615384615385,-0.035014722826782745,-0.03488372093023256,0.02293013068176764,0.18872987477638642,0.21166000545815405
train,S4,prior_low,1.0,0.75,291,0.4329896907216495,0.5670103092783505,0.0,0.007731958762886598,33,0.5151515151515151,0.15151515151515152,-0.016899244654973757,-0.03234011627906977,0.024631203417860355,0.1838552677942213,0.20848647121208164
train,S2,prior_close,0.5,0.5,145,0.4689655172413793,0.5310344827586206,0.0,-0.03103448275862069,11,0.6363636363636364,0.13636363636363635,-0.04679298425297657,-0.05377906976744186,0.015758501494355884,0.1901427061310782,0.20590120762543407
train,S3,poc,0.3,0.75,415,0.6819277108433734,0.3180722891566265,0.0,-0.033975903614457854,23,0.782608695652174,0.07173913043478258,-0.07666111893483549,-0.07848837209302326,0.04268521532037763,0.15022750252780584,0.19291271784818348
train,S4,prior_low,1.5,1.0,291,0.39862542955326463,0.5807560137457045,0.020618556701030927,0.01718213058419244,33,0.45454545454545453,0.16666666666666666,-0.0005761106132377416,-0.005087209302325582,0.017758241197430184,0.17175387596899225,0.18951211716642244
train,S4,val,1.5,0.75,353,0.38526912181303113,0.6090651558073654,0.0056657223796034,0.12110481586402266,29,0.3448275862068966,0.02586206896551724,-0.007585456407630265,-0.02943313953488372,0.12869027227165292,0.05529520850040096,0.18398548077205387
train,S3,prior_low,0.75,0.5,211,0.4028436018957346,0.5971563981042654,0.0,0.0035545023696682463,25,0.48,0.1,-0.02490078094994239,-0.043968023255813955,0.028455283319610634,0.14396802325581395,0.1724233065754246
train,S4,prior_low,1.0,1.0,291,0.5154639175257731,0.48109965635738833,0.003436426116838488,0.03436426116838488,33,0.5454545454545454,0.09090909090909091,-0.014978875944181283,-0.014534883720930232,0.04934313711256617,0.10544397463002114,0.1547871117425873
train,S3,prior_high,0.75,1.5,331,0.6586102719033232,0.3293051359516616,0.012084592145015106,0.0,26,0.6923076923076923,0.057692307692307696,-0.017379336832671875,-0.07739825581395349,0.017379336832671875,0.1350905635062612,0.15246990033893307
train,S4,val,0.75,1.5,353,0.6997167138810199,0.29461756373937675,0.0056657223796034,0.08286118980169972,29,0.6551724137931034,-0.02586206896551724,-0.017379336832671875,-0.07739825581395349,0.1002405266343716,0.05153618684843625,0.15177671348280786
train,S3,poc,0.5,0.5,415,0.4795180722891566,0.5204819277108433,0.0,-0.020481927710843374,23,0.5652173913043478,0.06521739130434782,-0.04679298425297657,-0.05377906976744186,0.0263110565421332,0.11899646107178968,0.14530751761392288
train,S3,prior_high,0.5,0.5,331,0.4652567975830816,0.5347432024169184,0.0,-0.03474320241691843,26,0.5769230769230769,0.07692307692307693,-0.04679298425297657,-0.05377906976744186,0.012049781836058142,0.13070214669051877,0.14275192852657692
train,S2,prior_close,0.5,0.75,145,0.6,0.3931034482758621,0.006896551724137931,0.005172413793103448,11,0.6363636363636364,0.045454545454545456,-0.03914351555498656,-0.043968023255813955,0.044315929348090005,0.08942256871035942,0.13373849805844942
train,S4,prior_low,0.5,1.5,291,0.7628865979381443,0.23367697594501718,0.003436426116838488,0.030927835051546393,33,0.7575757575757576,0.015151515151515152,-0.02202022788375368,-0.06540697674418605,0.05294806293530008,0.0805584918957012,0.13350655483100127
train,S4,vah,1.0,1.5,394,0.6192893401015228,0.3730964467005076,0.007614213197969543,0.05964467005076142,18,0.6111111111111112,0.027777777777777776,-0.008449622327486878,-0.024709302325581394,0.0680942923782483,0.052487080103359174,0.12058137248160747
