split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S4,prior_low,0.5,0.5,33,0.42424242424242425,0.5757575757575758,0.0,-0.07575757575757576
oos,S4,vah,0.5,0.5,18,0.2222222222222222,0.7777777777777778,0.0,-0.2777777777777778
oos,S4,val,0.5,0.5,29,0.27586206896551724,0.7241379310344828,0.0,-0.22413793103448276
oos,S1,poc,0.5,0.75,4,0.25,0.75,0.0,-0.4375
oos,S1,prior_close,0.5,0.75,6,0.8333333333333334,0.16666666666666666,0.0,0.2916666666666667
oos,S1,prior_high,0.5,0.75,6,0.6666666666666666,0.3333333333333333,0.0,0.08333333333333333
oos,S1,prior_low,0.5,0.75,6,0.8333333333333334,0.16666666666666666,0.0,0.2916666666666667
oos,S1,vah,0.5,0.75,2,0.5,0.5,0.0,-0.125
oos,S1,val,0.5,0.75,5,0.2,0.8,0.0,-0.5
oos,S2,poc,0.5,0.75,7,0.5714285714285714,0.42857142857142855,0.0,-0.03571428571428571
oos,S2,prior_close,0.5,0.75,11,0.6363636363636364,0.36363636363636365,0.0,0.045454545454545456
oos,S2,prior_high,0.5,0.75,9,0.5555555555555556,0.4444444444444444,0.0,-0.05555555555555555
oos,S2,prior_low,0.5,0.75,5,0.6,0.4,0.0,0.0
oos,S2,vah,0.5,0.75,4,0.75,0.25,0.0,0.1875
oos,S2,val,0.5,0.75,4,0.5,0.5,0.0,-0.125
oos,S3,poc,0.5,0.75,23,0.782608695652174,0.21739130434782608,0.0,0.22826086956521738
oos,S3,prior_close,0.5,0.75,32,0.5625,0.4375,0.0,-0.046875
oos,S3,prior_high,0.5,0.75,26,0.6538461538461539,0.34615384615384615,0.0,0.0673076923076923
oos,S3,prior_low,0.5,0.75,25,0.56,0.44,0.0,-0.05
oos,S3,vah,0.5,0.75,20,0.55,0.45,0.0,-0.0625
oos,S3,val,0.5,0.75,23,0.5652173913043478,0.43478260869565216,0.0,-0.043478260869565216
oos,S4,poc,0.5,0.75,30,0.4,0.6,0.0,-0.25
oos,S4,prior_close,0.5,0.75,31,0.41935483870967744,0.5806451612903226,0.0,-0.22580645161290322
oos,S4,prior_high,0.5,0.75,22,0.4090909090909091,0.5909090909090909,0.0,-0.23863636363636365
oos,S4,prior_low,0.5,0.75,33,0.6363636363636364,0.36363636363636365,0.0,0.045454545454545456
oos,S4,vah,0.5,0.75,18,0.3888888888888889,0.6111111111111112,0.0,-0.2638888888888889
oos,S4,val,0.5,0.75,29,0.4482758620689655,0.5517241379310345,0.0,-0.1896551724137931
oos,S1,poc,0.5,1.0,4,0.5,0.5,0.0,-0.25
oos,S1,prior_close,0.5,1.0,6,1.0,0.0,0.0,0.5
oos,S1,prior_high,0.5,1.0,6,0.6666666666666666,0.3333333333333333,0.0,0.0
oos,S1,prior_low,0.5,1.0,6,0.8333333333333334,0.16666666666666666,0.0,0.25
oos,S1,vah,0.5,1.0,2,0.5,0.5,0.0,-0.25
oos,S1,val,0.5,1.0,5,0.2,0.8,0.0,-0.7
oos,S2,poc,0.5,1.0,7,0.5714285714285714,0.42857142857142855,0.0,-0.14285714285714285
