split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,S2,poc,0.3,0.75,129,0.6356589147286822,0.3643410852713178,0.0,-0.08255813953488374,7,0.5714285714285714,-0.15,-0.07666111893483549,-0.07848837209302326,-0.00589702060004825,-0.07151162790697674
train,S2,prior_close,0.3,0.75,145,0.6551724137931034,0.3448275862068966,0.0,-0.06206896551724138,11,0.6363636363636364,-0.0818181818181818,-0.07666111893483549,-0.07848837209302326,0.014592153417594109,-0.0033298097251585473
train,S2,prior_high,0.3,0.75,99,0.6161616161616161,0.3838383838383838,0.0,-0.10303030303030303,9,0.5555555555555556,-0.16666666666666666,-0.07666111893483549,-0.07848837209302326,-0.02636918409546754,-0.0881782945736434
train,S2,prior_low,0.3,0.75,88,0.6590909090909091,0.3409090909090909,0.0,-0.057954545454545474,5,0.6,-0.12000000000000002,-0.07666111893483549,-0.07848837209302326,0.018706573480290013,-0.04151162790697677
train,S2,vah,0.3,0.75,134,0.5895522388059702,0.41044776119402987,0.0,-0.13097014925373135,4,0.75,0.03749999999999998,-0.07666111893483549,-0.07848837209302326,-0.05430903031889586,0.11598837209302323
train,S2,val,0.3,0.75,113,0.6902654867256637,0.30973451327433627,0.0,-0.02522123893805311,4,0.5,-0.225,-0.07666111893483549,-0.07848837209302326,0.05143987999678237,-0.14651162790697675
train,S3,poc,0.3,0.75,415,0.6819277108433734,0.3180722891566265,0.0,-0.033975903614457854,23,0.782608695652174,0.07173913043478258,-0.07666111893483549,-0.07848837209302326,0.04268521532037763,0.15022750252780584
train,S3,prior_close,0.3,0.75,455,0.6813186813186813,0.31868131868131866,0.0,-0.03461538461538462,32,0.625,-0.09375,-0.07666111893483549,-0.07848837209302326,0.04204573431945087,-0.015261627906976744
train,S3,prior_high,0.3,0.75,331,0.6193353474320241,0.3806646525679758,0.0,-0.09969788519637462,26,0.7692307692307693,0.057692307692307696,-0.07666111893483549,-0.07848837209302326,-0.023036766261539138,0.13618067978533094
train,S3,prior_low,0.3,0.75,211,0.6824644549763034,0.3175355450236967,0.0,-0.033412322274881535,25,0.56,-0.162,-0.07666111893483549,-0.07848837209302326,0.04324879665995395,-0.08351162790697675
train,S3,vah,0.3,0.75,422,0.6113744075829384,0.3886255924170616,0.0,-0.10805687203791471,20,0.6,-0.12000000000000002,-0.07666111893483549,-0.07848837209302326,-0.031395753103079224,-0.04151162790697677
train,S3,val,0.3,0.75,343,0.6355685131195336,0.36443148688046645,0.0,-0.08265306122448982,23,0.5652173913043478,-0.1565217391304348,-0.07666111893483549,-0.07848837209302326,-0.005991942289654328,-0.07803336703741154
