ticker,level_name,confluence,direction,target,stop,n,n_base,hit,base_hit,hit_lift,expectancy,base_exp,edge
SPY,prior_close,confluence_true,momentum,0.75,1.0,81,8223,0.3333333333333333,0.2697312416393044,0.06360209169402892,0.10185185185185185,0.04481332846892862,0.05703852338292323
SPY,prior_close,confluence_false,momentum,0.75,1.0,319,8223,0.29153605015673983,0.2697312416393044,0.021804808517435437,0.0023510971786833857,0.04481332846892862,-0.042462231290245234
SPY,ALL,all,fade,1.5,1.5,1906,8223,0.09758656873032528,0.07783047549556123,0.019756093234764058,-0.012591815320041973,-0.004377964246625319,-0.008213851073416654
SPY,ALL,confluence_true,fade,1.5,1.5,392,8223,0.11479591836734694,0.07783047549556123,0.036965442871785714,0.015306122448979591,-0.004377964246625319,0.01968408669560491
SPY,ALL,confluence_false,fade,1.5,1.5,1514,8223,0.09313077939233817,0.07783047549556123,0.015300303896776946,-0.019815059445178335,-0.004377964246625319,-0.015437095198553016
SPY,poc,all,fade,1.5,1.5,346,8223,0.09248554913294797,0.07783047549556123,0.014655073637386745,-0.017341040462427744,-0.004377964246625319,-0.012963076215802425
SPY,poc,confluence_true,fade,1.5,1.5,71,8223,0.09859154929577464,0.07783047549556123,0.020761073800213414,0.06338028169014084,-0.004377964246625319,0.06775824593676616
SPY,poc,confluence_false,fade,1.5,1.5,275,8223,0.09090909090909091,0.07783047549556123,0.013078615413529684,-0.038181818181818185,-0.004377964246625319,-0.03380385393519286
SPY,vah,all,fade,1.5,1.5,359,8223,0.11977715877437325,0.07783047549556123,0.04194668327881203,0.08774373259052924,-0.004377964246625319,0.09212169683715456
SPY,vah,confluence_true,fade,1.5,1.5,78,8223,0.14102564102564102,0.07783047549556123,0.0631951655300798,0.11538461538461539,-0.004377964246625319,0.1197625796312407
SPY,vah,confluence_false,fade,1.5,1.5,281,8223,0.11387900355871886,0.07783047549556123,0.03604852806315763,0.0800711743772242,-0.004377964246625319,0.08444913862384952
SPY,val,all,fade,1.5,1.5,283,8223,0.0989399293286219,0.07783047549556123,0.021109453833060676,-0.10070671378091872,-0.004377964246625319,-0.0963287495342934
SPY,val,confluence_true,fade,1.5,1.5,52,8223,0.15384615384615385,0.07783047549556123,0.07601567835059263,0.0,-0.004377964246625319,0.004377964246625319
SPY,val,confluence_false,fade,1.5,1.5,231,8223,0.08658008658008658,0.07783047549556123,0.00874961108452535,-0.12337662337662338,-0.004377964246625319,-0.11899865912999806
SPY,prior_high,all,fade,1.5,1.5,295,8223,0.0711864406779661,0.07783047549556123,-0.006644034817595124,-0.005084745762711864,-0.004377964246625319,-0.0007067815160865451
SPY,prior_high,confluence_true,fade,1.5,1.5,64,8223,0.0625,0.07783047549556123,-0.015330475495561227,-0.0234375,-0.004377964246625319,-0.01905953575337468
SPY,prior_high,confluence_false,fade,1.5,1.5,231,8223,0.0735930735930736,0.07783047549556123,-0.004237401902487628,0.0,-0.004377964246625319,0.004377964246625319
SPY,prior_low,all,fade,1.5,1.5,223,8223,0.11659192825112108,0.07783047549556123,0.03876145275555985,-0.04708520179372197,-0.004377964246625319,-0.042707237547096655
SPY,prior_low,confluence_true,fade,1.5,1.5,46,8223,0.17391304347826086,0.07783047549556123,0.09608256798269964,0.0,-0.004377964246625319,0.004377964246625319
SPY,prior_low,confluence_false,fade,1.5,1.5,177,8223,0.1016949152542373,0.07783047549556123,0.023864439758676068,-0.059322033898305086,-0.004377964246625319,-0.054944069651679764
SPY,prior_close,all,fade,1.5,1.5,400,8223,0.09,0.07783047549556123,0.01216952450443877,-0.0225,-0.004377964246625319,-0.01812203575337468
SPY,prior_close,confluence_true,fade,1.5,1.5,81,8223,0.08641975308641975,0.07783047549556123,0.008589277590858521,-0.07407407407407407,-0.004377964246625319,-0.06969610982744875
SPY,prior_close,confluence_false,fade,1.5,1.5,319,8223,0.09090909090909091,0.07783047549556123,0.013078615413529684,-0.009404388714733543,-0.004377964246625319,-0.005026424468108224
SPY,ALL,all,fade,1.0,1.0,1906,8223,0.2098635886673662,0.16624103125380033,0.04362255741356588,-0.008919202518363064,-0.005594065426243464,-0.0033251370921196
SPY,ALL,confluence_true,fade,1.0,1.0,392,8223,0.2066326530612245,0.16624103125380033,0.04039162180742417,0.00510204081632653,-0.005594065426243464,0.010696106242569994
SPY,ALL,confluence_false,fade,1.0,1.0,1514,8223,0.21070013210039631,0.16624103125380033,0.04445910084659599,-0.012549537648612946,-0.005594065426243464,-0.006955472222369482
SPY,poc,all,fade,1.0,1.0,346,8223,0.19653179190751446,0.16624103125380033,0.03029076065371414,-0.028901734104046242,-0.005594065426243464,-0.02330766867780278
SPY,poc,confluence_true,fade,1.0,1.0,71,8223,0.2112676056338028,0.16624103125380033,0.04502657438000249,0.04225352112676056,-0.005594065426243464,0.04784758655300403
SPY,poc,confluence_false,fade,1.0,1.0,275,8223,0.19272727272727272,0.16624103125380033,0.026486241473472394,-0.04727272727272727,-0.005594065426243464,-0.041678661846483805
SPY,vah,all,fade,1.0,1.0,359,8223,0.2116991643454039,0.16624103125380033,0.04545813309160357,0.05013927576601671,-0.005594065426243464,0.05573334119226018
SPY,vah,confluence_true,fade,1.0,1.0,78,8223,0.21794871794871795,0.16624103125380033,0.051707686694917626,0.0641025641025641,-0.005594065426243464,0.06969662952880756
SPY,vah,confluence_false,fade,1.0,1.0,281,8223,0.2099644128113879,0.16624103125380033,0.043723381557587565,0.046263345195729534,-0.005594065426243464,0.051857410621973
SPY,val,all,fade,1.0,1.0,283,8223,0.20141342756183744,0.16624103125380033,0.03517239630803712,-0.07420494699646643,-0.005594065426243464,-0.06861088157022296
SPY,val,confluence_true,fade,1.0,1.0,52,8223,0.23076923076923078,0.16624103125380033,0.06452819951543046,-0.057692307692307696,-0.005594065426243464,-0.05209824226606423
