split,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos,level_type
train,0.3,1.0,2772,0.7218614718614719,0.27813852813852813,0.0,-0.061580086580086596,270,0.7703703703703704,0.0014814814814814762,-0.08636968085106385,-0.11856060606060607,0.024789594270977253,0.12004208754208755,roll
train,0.3,1.5,2772,0.799062049062049,0.19913419913419914,0.0018037518037518038,-0.058982683982683984,270,0.8333333333333334,0.0,-0.06392952127659576,-0.15,0.004946837293911779,0.15,roll
train,0.5,0.5,2772,0.4527417027417027,0.5472582972582972,0.0,-0.047258297258297256,270,0.5,0.0,-0.0625,-0.08333333333333333,0.015241702741702744,0.08333333333333333,roll
train,0.5,0.75,2772,0.5638528138528138,0.43614718614718617,0.0,-0.04518398268398268,270,0.5962962962962963,-0.004629629629629629,-0.06017287234042553,-0.08901515151515152,0.01498888965644285,0.0843855218855219,roll
train,0.5,1.0,2772,0.6345598845598845,0.36507936507936506,0.00036075036075036075,-0.0477994227994228,270,0.6814814814814815,0.022222222222222223,-0.052526595744680854,-0.08712121212121213,0.004727172945258054,0.10934343434343435,roll
train,0.5,1.5,2772,0.7164502164502164,0.2795815295815296,0.003968253968253968,-0.061147186147186144,270,0.7444444444444445,0.0,-0.045877659574468085,-0.13636363636363635,-0.015269526572718059,0.13636363636363635,roll
train,0.75,0.5,2772,0.37662337662337664,0.6233766233766234,0.0,-0.02922077922077922,270,0.3962962962962963,-0.002777777777777778,-0.03956117021276596,-0.08333333333333333,0.010340390991986737,0.08055555555555555,roll
train,0.75,0.75,2772,0.4787157287157287,0.5205627705627706,0.0007215007215007215,-0.031385281385281384,270,0.48518518518518516,-0.019444444444444445,-0.036153590425531915,-0.10511363636363637,0.00476830904025053,0.08566919191919192,roll
train,0.75,1.0,2772,0.5458152958152959,0.45165945165945165,0.0025252525252525255,-0.0422979797979798,270,0.5740740740740741,0.008333333333333333,-0.03499002659574468,-0.0946969696969697,-0.0073079532022351165,0.10303030303030303,roll
train,0.75,1.5,2772,0.6367243867243867,0.3531746031746032,0.010101010101010102,-0.05221861471861472,270,0.6555555555555556,0.002777777777777778,-0.02967087765957447,-0.14488636363636365,-0.02254773705904025,0.14766414141414141,roll
train,1.0,0.5,2772,0.3203463203463203,0.6792929292929293,0.00036075036075036075,-0.0193001443001443,270,0.362962962962963,0.046296296296296294,-0.034242021276595744,-0.054924242424242424,0.014941876976451444,0.10122053872053871,roll
train,1.0,0.75,2772,0.4163059163059163,0.5818903318903319,0.0018037518037518038,-0.020111832611832612,270,0.43333333333333335,0.011111111111111112,-0.03158244680851064,-0.07196969696969698,0.011470614196678029,0.08308080808080809,roll
train,1.0,1.0,2772,0.4790764790764791,0.5165945165945166,0.004329004329004329,-0.03751803751803752,270,0.5148148148148148,0.044444444444444446,-0.031914893617021274,-0.056818181818181816,-0.005603143901016246,0.10126262626262626,roll
train,1.0,1.5,2772,0.5678210678210678,0.41089466089466087,0.021284271284271284,-0.04852092352092352,270,0.6074074074074074,0.06851851851851852,-0.0277593085106383,-0.09090909090909091,-0.02076161501028522,0.15942760942760942,roll
train,1.5,0.5,2772,0.23593073593073594,0.7597402597402597,0.004329004329004329,-0.025974025974025976,270,0.2814814814814815,0.07222222222222222,-0.032247340425531915,-0.041666666666666664,0.006273314451505939,0.11388888888888887,roll
train,1.5,0.75,2772,0.31782106782106784,0.6677489177489178,0.01443001443001443,-0.02408008658008658,270,0.337037037037037,0.025,-0.0398936170212766,-0.07386363636363637,0.015813530441190018,0.09886363636363638,roll
train,1.5,1.0,2772,0.37157287157287155,0.6042568542568543,0.024170274170274172,-0.046897546897546896,270,0.3962962962962963,0.03148148148148148,-0.040392287234042555,-0.03409090909090909,-0.006505259663504341,0.06557239057239056,roll
train,1.5,1.5,2772,0.44155844155844154,0.48773448773448774,0.0707070707070707,-0.06926406926406926,270,0.4740740740740741,0.06111111111111111,-0.0398936170212766,-0.07386363636363637,-0.029370452242792666,0.13497474747474747,roll
