minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
600,293247.1415557228,235296.996409,0.4899715772976187,-83.72673852224823,819,10:00
601,222163.8319981905,182585.0,0.4949537588976511,-1204.314292489415,819,10:01
602,216192.17602742615,179711.0,0.49396087972499564,-6891.820210250121,819,10:02
603,189830.36251132478,160616.0,0.498062523545683,3392.3766061562865,819,10:03
604,181482.57894916116,157638.0,0.5039063739626459,-4696.45023220495,819,10:04
605,194507.43925032846,162891.0,0.5123086355655698,8162.909743126853,819,10:05
606,183064.62095321,155350.0,0.5242390017930759,3313.6537079255672,819,10:06
607,177756.29073985716,147607.0,0.5019349866188022,-6755.975997036419,819,10:07
608,206987.83963894018,169581.0,0.51701856153859,5569.6547379200365,819,10:08
609,168143.69730094873,139659.0,0.504264340370612,4391.752937392366,819,10:09
610,192166.35854453236,165997.0,0.4969974638597449,135.21958861159428,819,10:10
611,180331.7324503663,149844.0,0.4692980412455436,-11521.171759561003,819,10:11
612,188602.47463414652,156734.0,0.5210276904609782,3483.1541517751625,819,10:12
613,167698.0714936752,136000.0,0.5184548329749881,5452.262833894794,819,10:13
614,155689.80481625276,130279.0,0.5125060906076145,-1334.8730162542402,819,10:14
615,207376.52780076067,173348.0,0.5328866157371328,10691.327100374896,819,10:15
616,169169.01571177653,144017.0,0.504763867633653,3012.590913708736,819,10:16
617,172849.08323096705,136845.0,0.5281769191796829,5488.766816812246,819,10:17
618,162751.84131715994,130303.0,0.49633881112031963,-5502.537826173067,819,10:18
619,150820.2567755714,123843.0,0.5358882756128543,6750.779349910459,819,10:19
620,161501.92011315507,135833.0,0.5064296034902886,-1750.6363847261343,819,10:20
621,159077.55720469842,136699.0,0.52380801514782,4831.715486564881,819,10:21
622,168456.16799538705,135759.0,0.5179460493879535,2602.057117739943,819,10:22
623,149904.0230785873,121558.0,0.5276436388375769,5639.075483929167,819,10:23
624,175128.65539642854,142764.0,0.5125019731997101,-2496.4521455975596,819,10:24
625,161255.68359710256,132472.0,0.49275022863610984,-4211.27418018436,819,10:25
626,158997.7846555861,130582.0,0.509080032617629,-932.6821169614784,819,10:26
627,154847.77815212944,126110.0,0.5004175281201343,-1496.5738736046055,819,10:27
628,178038.75543233578,147864.0,0.5236679167004401,5849.067636511111,819,10:28
629,151541.73707915383,121400.0,0.5233284165477956,7234.998045171692,819,10:29
630,188870.3809749182,156137.0,0.5219513582669166,5616.315122132811,819,10:30
631,162108.0016101795,134422.0,0.5260310011526041,6964.238572324466,819,10:31
632,195184.79138798782,154278.0,0.5125383432100079,2302.9729476101156,819,10:32
633,157764.1943429829,125851.0,0.5140681268092525,2590.833937142783,819,10:33
634,167704.78357399878,124146.0,0.5103754589012284,-11991.29208350971,819,10:34
635,161615.2175699707,139193.0,0.516485345267685,1267.6724470819415,819,10:35
636,157456.38750819047,126267.0,0.5030101523561187,651.5243254594291,819,10:36
637,151070.22665996093,124479.083203,0.5393579449794755,6998.290379834964,819,10:37
638,152994.74234319903,122153.0,0.518522425845398,1850.672826233753,819,10:38
639,150205.64225852015,115338.0,0.5177521855074348,5830.40837278077,819,10:39
640,173450.95997656044,144448.0,0.5034063669182595,-1812.5326893784095,819,10:40
641,144647.1053526691,118939.0,0.5136947372855749,1604.2833010216607,819,10:41
642,147193.91291136265,119679.0,0.5171021086293891,4676.578084817604,819,10:42
643,145743.17751957753,116983.0,0.5110203464261446,-1037.7250987068242,819,10:43
644,154592.90115621002,107261.0,0.5213519601694666,-8163.385117498214,819,10:44
645,156461.02878665325,123705.0,0.5315649228736335,8718.258627935029,819,10:45
646,149379.3681938254,116403.0,0.5001678420476415,1475.0530570529265,819,10:46
647,161620.66646506227,113496.0,0.5423517142092398,20800.292583295977,819,10:47
648,138745.7190887265,110579.0,0.5153649952108791,3199.8331456200676,819,10:48
649,140639.5515241563,108286.0,0.5303314149266012,9222.667485345224,819,10:49
650,144663.01456452627,119798.0,0.46791321604934083,-13336.815085709051,819,10:50
651,153478.8179708657,114769.0,0.4856575593695783,-3767.157720806972,819,10:51
652,143932.96555210746,107857.0,0.48304570270015557,-7218.680544941372,819,10:52
653,148106.06577856533,106164.16989,0.511692226406281,10808.581226173004,819,10:53
654,146247.19649097315,101540.0,0.5043596752697804,1153.9349015416738,819,10:54
655,154489.2182092845,125752.0,0.5238918695645757,8852.171479164603,819,10:55
656,152308.64931091576,111849.0,0.4830603880991928,-10175.89166729779,819,10:56
657,131247.06698932723,105081.0,0.5162163826325344,-34.1994791221446,819,10:57
658,140091.5163152161,104372.0,0.523039930926177,-1402.8296310682365,819,10:58
659,138691.9820913883,99294.0,0.5255996788431168,10713.083533541592,819,10:59
660,174972.3674272601,137983.0,0.5257972497213541,13522.843645574821,819,11:00
661,146765.77584375825,112511.0,0.5023137835150454,2280.3513271063525,819,11:01
662,157312.684609779,115099.0,0.5154390768265245,10170.67820732233,819,11:02
663,133182.77334928204,101982.0,0.5137745615265449,3539.2083176255096,819,11:03
664,143033.20543931378,103451.0,0.5099774550837304,-1023.3619654946605,819,11:04
665,139923.60118388158,104808.0,0.510770459202648,3961.9370921750524,819,11:05
666,131445.73540720026,106184.0,0.5356112485702597,8620.993021097544,819,11:06
667,128240.68185994262,100167.0,0.5017599429959566,-1387.7204139882438,819,11:07
668,139276.49241428572,111654.0,0.49381860259558685,-5297.774511115131,819,11:08
669,127455.86661198045,96051.0,0.511960440944666,2193.510113734263,819,11:09
670,173570.15316596947,111265.0,0.5189303586595837,7137.399392471757,819,11:10
671,131609.73070076556,101588.0,0.5195858748980517,5069.402001330759,819,11:11
672,128064.83676203906,100483.0,0.4893757245469517,-2962.881597743681,819,11:12
673,127464.07264730282,96177.0,0.5147543827071538,5939.403444372567,819,11:13
674,117576.36190098901,91413.0,0.532887493160999,1247.7202874039515,819,11:14
675,156230.5602722259,119436.0,0.5081412601976183,5023.330602846652,819,11:15
676,147727.87481609767,104523.0,0.4955226991973781,-2088.5683040286845,819,11:16
677,147326.38763863128,99321.0,0.5123657651085968,8579.185165077566,819,11:17
678,119871.34450671918,90079.0,0.5243996348548015,1745.3939065767545,819,11:18
679,127968.49215660318,86391.0,0.5280093034281433,4692.9437095326975,819,11:19
680,131502.91036252992,96763.0,0.5057298935157705,614.7776726384137,819,11:20
681,134447.9069044371,98819.0,0.5111207244802549,-1004.3861111217032,819,11:21
682,127437.0922308425,100765.0,0.5053954129477,1662.307561807886,819,11:22
683,124521.64098899756,90929.0,0.5190871742128211,7355.900220216808,819,11:23
684,136824.4655150012,100044.0,0.5405568815137687,8506.669729472445,819,11:24
685,126856.55503508548,98607.0,0.49591982279165314,-4491.663776282209,819,11:25
686,126652.01061473382,97557.0,0.5113953976440483,3192.736089214718,819,11:26
687,121976.89923931746,89558.0,0.5177981554963038,3969.417384789534,819,11:27
688,129181.94602289256,100716.0,0.5123305422042145,-4928.346968410406,819,11:28
689,128467.60421426862,94161.0,0.503724744094676,-1745.210941927419,819,11:29
690,147366.2574571746,117886.0,0.534954509344736,7215.4964183011025,819,11:30
691,132324.39179872285,102719.0,0.5001357916381964,2797.974112376314,819,11:31
692,137455.47040313188,104511.0,0.5193775468660293,3378.3539847818674,819,11:32
693,120030.94822155434,91408.0,0.5101796389841684,-3268.8702347574645,819,11:33
694,117398.54634025518,91486.0,0.5101152324658164,3964.128766847037,819,11:34
695,124916.63202860072,100310.0,0.5278439993233279,2330.191996996119,819,11:35
