level_name,time_bucket,minute,from_below,mfe_pct,mae_pct,close_ret_pct,bar_vol,bar_bp
vah,open_30m,570,True,0.003327381018397391,0.2085158771530923,-0.15416865385255113,615871.0,0.9500000000000474
high,open_30m,575,True,0.011077877478677604,0.08751523208152914,-0.06644510911708865,286936.0,0.7692307692308029
close,open_30m,570,True,0.003327381018397391,0.2085158771530923,-0.15416865385255113,615871.0,0.9500000000000474
val,open_30m,585,False,0.07619173816542892,0.020980333697734627,0.036549949757623844,189714.0,0.25
high,30_60m,601,False,0.03272879341462768,0.08363780428753698,-0.009904476823515225,388151.0,0.8030303030303004
poc,open_30m,571,True,0.0922512670543426,0.04659798462069237,0.06149352143012923,242414.0,0.9088636363636464
val,open_30m,571,False,0.04659798462069237,0.0922512670543426,-0.06149352143012923,242414.0,0.9088636363636464
close,open_30m,570,False,0.1147605856747112,0.021984786527727816,-0.002198478652770282,370947.0,0.038461538461504824
poc,open_30m,570,True,0.241657329906198,0.0,0.1757507853863247,531953.0,0.9105691056910471
vah,open_30m,570,True,0.241657329906198,0.0,0.1757507853863247,531953.0,0.9105691056910471
val,open_30m,570,True,0.241657329906198,0.0,0.1757507853863247,531953.0,0.9105691056910471
high,midday,792,True,0.08563147725276356,0.010978394519587951,0.06587036711751523,610798.0,0.6146153846154768
low,open_30m,570,True,0.241657329906198,0.0,0.1757507853863247,531953.0,0.9105691056910471
close,open_30m,570,True,0.241657329906198,0.0,0.1757507853863247,531953.0,0.9105691056910471
poc,60_150m,640,True,0.013194497894378543,0.15503535025893853,-0.005497707455985852,467302.0,0.6901408450704
vah,60_150m,643,True,0.08899534147841538,0.07910697020304423,-0.006570273358529889,352945.0,0.44827586206891823
val,60_150m,639,True,0.002200220022000199,0.2068206820682063,-0.10561056105610961,517431.0,0.8076923076922572
high,60_150m,684,True,0.03731015714159404,0.12948819243262924,-0.10446843999648825,298055.0,0.9315068493149767
low,open_30m,570,False,0.03965194404670268,0.09912986011675046,-0.04868377574622836,488559.0,0.03448275862065586
close,60_150m,639,True,0.002200220022000199,0.2068206820682063,-0.10561056105610961,517431.0,0.8076923076922572
poc,60_150m,692,False,0.1340570951365874,0.0,0.13185943783926835,268362.0,0.4999999999998328
vah,60_150m,677,False,0.06040504327198394,0.06919123138426345,-0.05052058164565703,202857.0,0.22222222222216959
high,30_60m,620,False,0.33624305882611194,0.09090610385200128,-0.05145504528875982,203419.0,0.997732426303908
close,close_90m,916,False,0.026386964839370353,0.09015546320117163,-0.06592343382369215,202768.0,0.13333333333321207
poc,close_90m,954,True,0.008770006577509419,0.1447051085288244,-0.04604253453189641,1285795.0,0.4155844155844904
val,open_30m,574,False,0.012082999220098822,0.22957698518185263,-0.1548820809121531,264741.0,0.5624999999999408
low,open_30m,587,False,0.1826182618261791,0.050605060506054615,0.0,348737.0,0.9230769230769903
close,open_30m,579,False,0.15176843216610894,0.10997712475805033,0.12757346471934738,300869.0,0.34408602150528433
vah,open_30m,572,False,0.19326642215535886,0.03294314014011316,0.16471570070059077,213584.0,0.3103448275862069
high,30_60m,601,True,0.1664221429040644,0.10072919175771991,0.1521886701556908,351929.0,0.8809523809523981
close,30_60m,600,True,0.030694350047134757,0.22363026462914248,0.018394685492540898,645871.0,0.23202898550724702
poc,close_90m,909,True,0.02408951294427534,0.076788064940756,-0.030715225976302402,928149.0,0.01337057285477048
val,close_90m,909,True,0.02408951294427534,0.076788064940756,-0.030715225976302402,928149.0,0.01337057285477048
low,30_60m,623,False,0.006590654451993576,0.13620685867440072,-0.061512774885206775,253188.0,0.1538461538462043
close,close_90m,909,True,0.02408951294427534,0.076788064940756,-0.030715225976302402,928149.0,0.01337057285477048
poc,30_60m,600,True,0.11485433306705055,0.1305421816889496,0.07760664779158291,1072514.0,0.9396330275229152
vah,30_60m,602,True,0.15550055848791686,0.08979609715500231,0.11498280733261292,495937.0,0.5599999999999454
val,open_30m,590,True,0.04390972161237496,0.3337138842539698,-0.20198471941686988,166264.0,0.4893617021276699
close,30_60m,602,True,0.15550055848791686,0.08979609715500231,0.11498280733261292,495937.0,0.5599999999999454
poc,60_150m,693,False,0.07235890014471431,0.01096346971889913,0.035083103100474716,274073.0,0.0930232558139996
vah,60_150m,682,False,0.10400359086082628,0.15217367504898968,-0.09743494301697847,144044.0,0.026785714285689814
val,60_150m,693,False,0.07235890014471431,0.01096346971889913,0.035083103100474716,274073.0,0.0930232558139996
high,30_60m,602,False,0.16828008834212027,0.039376797713613874,0.1289469940666042,141257.0,0.07920000000012806
low,close_90m,924,False,0.05473008616142599,0.06154387198874027,-0.05338930895022931,299592.0,0.3333333333330807
close,60_150m,683,False,0.07442267702746524,0.18167888803765805,-0.1247674291343001,245998.0,0.8574490889603822
vah,midday,740,True,0.05891594658287114,0.019638648860965315,0.015274504669632797,286289.0,0.1904761904760358
high,midday,862,True,0.09591907917685179,0.008719916288795697,0.06539937216602967,425036.0,0.18181818181829926
poc,open_30m,583,True,0.11327068727801726,0.06122680901009629,0.0805524067240014,200027.0,0.9968181818182049
vah,open_30m,584,True,0.15262515262515014,0.02180359323216962,0.09593581022152402,198372.0,0.8499999999998437
val,open_30m,570,True,0.1408681408681369,0.1801801801801777,-0.10374010374010871,473158.0,0.9779411764706085
high,30_60m,600,True,0.09147138252461362,0.18076487498910707,-0.16893893196270843,759063.0,0.8173913043478402
close,open_30m,581,True,0.03710656131312679,0.13096433404636634,0.004365477801541409,265848.0,0.7599999999999909
poc,open_30m,578,True,0.035723862366649504,0.03333357960489784,-0.005106513172851067,166591.0,0.9864000000000033
vah,30_60m,620,True,0.0879488376638247,0.020629974266815156,-0.017372609908898922,145263.0,0.4687500000000222
high,60_150m,636,True,0.06658318794049536,0.13496885618074167,-0.1288664831177033,200257.0,0.06877865777411125
close,open_30m,574,True,0.045679979117731744,0.13486470025231612,-0.09788566953797716,232621.0,0.026315789473810178
poc,open_30m,570,False,0.01516694472733084,0.2015036942343835,-0.12350226420817569,449394.0,0.2608695652171979
vah,30_60m,618,True,0.021706198060942754,0.06275969529086316,-0.0021641274238207464,205110.0,0.4285714285713512
high,30_60m,618,True,0.021706198060942754,0.06275969529086316,-0.0021641274238207464,205110.0,0.4285714285713512
close,30_60m,606,True,0.054114896748777,0.060608684358624335,-0.054114896748777,171933.0,0.9032258064517193
vah,midday,792,False,0.02692775821027348,0.01831087558298156,-0.004308441313639838,90056.0,0.3483386923901299
high,30_60m,605,False,0.0871952204101346,0.011841326228539064,0.08288928359976121,163659.0,0.8703703703704795
close,midday,789,False,0.023695661539777865,0.021541510490720506,0.004308302098139203,88825.0,0.4444444444447953
vah,midday,833,False,0.2867955150960816,-0.0012360038546197702,0.2526988570373951,333870.0,0.009130434782665056
high,midday,810,False,0.033977489912937996,0.044595455510719806,-0.014865151836906601,239074.0,0.8333333333330175
close,midday,829,False,0.036137151117066495,0.2508343430478513,-0.01275428862955217,200098.0,0.2622705133008714
low,open_30m,570,False,0.08522606212980656,0.11292453232197826,0.049004985724638475,1575114.0,0.5737704918032099
poc,60_150m,634,False,0.0084785281275214,0.13777608207214748,-0.08902454533892049,214169.0,0.9895128729484356
vah,60_150m,634,False,0.0084785281275214,0.13777608207214748,-0.08902454533892049,214169.0,0.9895128729484356
