session_date,level_name,level,touched,first_touch_bar,first_touch_minute
2023-05-10,close,410.96,True,72.0,642.0
2023-05-11,poc,412.68,False,,
2023-05-11,vah,413.62,False,,
2023-05-11,val,411.12,True,2.0,572.0
2023-05-11,high,414.535,False,,
2023-05-11,low,408.87,False,,
2023-05-11,close,412.8,False,,
2023-05-12,poc,411.93,True,36.0,606.0
2023-05-12,vah,412.28,True,31.0,601.0
2023-05-12,val,410.98,True,105.0,675.0
2023-05-12,high,412.43,True,30.0,600.0
2023-05-12,low,409.97,True,172.0,742.0
2023-05-12,close,412.16,True,31.0,601.0
2023-05-15,poc,411.53,True,4.0,574.0
2023-05-15,vah,411.82,True,3.0,573.0
2023-05-15,val,409.53,False,,
2023-05-15,high,413.64,False,,
2023-05-15,low,409.07,False,,
2023-05-15,close,411.61,True,3.0,573.0
2023-05-16,poc,412.63,True,13.0,583.0
2023-05-16,vah,412.83,True,15.0,585.0
2023-05-16,val,411.53,True,20.0,590.0
2023-05-16,high,413.43,False,,
2023-05-16,low,410.23,True,389.0,959.0
2023-05-16,close,413.01,False,,
2023-05-17,poc,411.53,True,3.0,573.0
2023-05-17,vah,411.98,True,3.0,573.0
2023-05-17,val,411.13,True,3.0,573.0
2023-05-17,high,412.815,True,108.0,678.0
2023-05-17,low,410.24,False,,
2023-05-17,close,410.25,False,,
2023-05-18,poc,415.18,True,8.0,578.0
2023-05-18,vah,415.88,True,40.0,610.0
2023-05-18,val,412.43,False,,
2023-05-18,high,415.855,True,40.0,610.0
2023-05-18,low,410.635,False,,
2023-05-18,close,415.21,True,8.0,578.0
2023-05-19,poc,417.03,False,,
2023-05-19,vah,418.03,True,122.0,692.0
2023-05-19,val,415.18,False,,
2023-05-19,high,419.67,True,99.0,669.0
2023-05-19,low,414.67,False,,
2023-05-19,close,419.23,True,105.0,675.0
2023-05-22,poc,418.62,True,0.0,570.0
2023-05-22,vah,419.98,True,8.0,578.0
2023-05-22,val,417.53,True,38.0,608.0
2023-05-22,high,420.72,False,,
2023-05-22,low,417.35,True,39.0,609.0
2023-05-22,close,418.61,True,0.0,570.0
2023-05-23,poc,419.23,False,,
2023-05-23,vah,419.53,False,,
2023-05-23,val,418.62,True,110.0,680.0
2023-05-23,high,420.39,False,,
2023-05-23,low,417.35,True,2.0,572.0
2023-05-23,close,418.78,False,,
2023-05-24,poc,414.28,False,,
2023-05-24,vah,417.13,False,,
2023-05-24,val,413.68,False,,
2023-05-24,high,418.722,False,,
2023-05-24,low,413.68,False,,
2023-05-24,close,414.09,False,,
2023-05-25,poc,410.98,False,,
2023-05-25,vah,411.38,False,,
2023-05-25,val,410.28,False,,
2023-05-25,high,412.82,True,7.0,577.0
2023-05-25,low,409.8795,False,,
2023-05-25,close,411.09,False,,
2023-05-26,poc,414.78,False,,
2023-05-26,vah,415.53,True,0.0,570.0
2023-05-26,val,413.38,False,,
2023-05-26,high,416.16,True,3.0,573.0
2023-05-26,low,412.4101,False,,
2023-05-26,close,414.63,False,,
2023-05-30,poc,419.93,True,110.0,680.0
2023-05-30,vah,420.57,True,32.0,602.0
2023-05-30,val,418.93,True,266.0,836.0
2023-05-30,high,420.77,True,31.0,601.0
2023-05-30,low,415.25,False,,
2023-05-30,close,419.98,True,110.0,680.0
2023-05-31,poc,420.38,False,,
2023-05-31,vah,420.98,False,,
2023-05-31,val,419.58,False,,
2023-05-31,high,422.58,False,,
2023-05-31,low,418.735,True,1.0,571.0
2023-05-31,close,420.17,False,,
2023-06-01,poc,417.93,True,0.0,570.0
2023-06-01,vah,418.98,True,71.0,641.0
2023-06-01,val,417.48,True,1.0,571.0
2023-06-01,high,419.22,True,72.0,642.0
2023-06-01,low,416.22,False,,
2023-06-01,close,417.83,True,0.0,570.0
2023-06-02,poc,421.62,False,,
2023-06-02,vah,422.88,False,,
2023-06-02,val,419.82,False,,
2023-06-02,high,422.92,False,,
2023-06-02,low,416.79,False,,
2023-06-02,close,421.81,False,,
2023-06-05,poc,428.03,True,23.0,597.0
2023-06-05,vah,428.63,True,2.0,572.0
2023-06-05,val,426.73,True,300.0,874.0
2023-06-05,high,428.74,True,2.0,572.0
2023-06-05,low,423.95,False,,
2023-06-05,close,427.91,True,23.0,597.0
2023-06-06,poc,428.68,False,,
2023-06-06,vah,429.53,False,,
2023-06-06,val,427.48,True,40.0,610.0
2023-06-06,high,429.67,False,,
2023-06-06,low,426.37,True,0.0,570.0
2023-06-06,close,427.1,True,38.0,608.0
2023-06-07,poc,428.08,True,54.0,624.0
2023-06-07,vah,428.23,True,53.0,623.0
2023-06-07,val,427.13,True,82.0,652.0
2023-06-07,high,428.5772,True,0.0,570.0
