config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,0.15,585,0.27692307692307694,0.7111111111111111,0.011965811965811967,0.0041025641025641,0.027350427350427333
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,0.2,585,0.3247863247863248,0.6495726495726496,0.02564102564102564,0.0,0.0
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,0.25,585,0.3572649572649573,0.6034188034188034,0.039316239316239315,-0.007948717948717933,-0.03179487179487173
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,0.3,585,0.40512820512820513,0.5521367521367522,0.042735042735042736,-0.003589743589743556,-0.011965811965811854
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,0.5,585,0.5264957264957265,0.36752136752136755,0.10598290598290598,0.02683760683760684,0.05367521367521368
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,0.75,585,0.5863247863247864,0.25982905982905985,0.15384615384615385,0.03965811965811969,0.05287749287749292
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,1.0,585,0.6153846153846154,0.18803418803418803,0.19658119658119658,0.05811965811965812,0.05811965811965812
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.4,1.5,585,0.6341880341880342,0.1111111111111111,0.2547008547008547,0.08700854700854702,0.05800569800569801
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,0.15,585,0.2358974358974359,0.7487179487179487,0.015384615384615385,0.005641025641025636,0.03760683760683758
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,0.2,585,0.27521367521367524,0.6923076923076923,0.03247863247863248,-0.0008547008547008547,-0.004273504273504273
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,0.25,585,0.3076923076923077,0.6427350427350428,0.04957264957264957,-0.006837606837606838,-0.02735042735042735
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,0.3,585,0.347008547008547,0.5965811965811966,0.05641025641025641,-0.005470085470085475,-0.018233618233618253
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,0.5,585,0.46153846153846156,0.4,0.13846153846153847,0.03076923076923077,0.06153846153846154
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,0.75,585,0.5196581196581197,0.28376068376068375,0.19658119658119658,0.04700854700854701,0.06267806267806268
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,1.0,585,0.5504273504273505,0.20683760683760682,0.24273504273504273,0.06837606837606838,0.06837606837606838
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.5,1.5,585,0.5709401709401709,0.11965811965811966,0.3094017094017094,0.10598290598290598,0.07065527065527065
