config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_morning_0930_1115_BASELINE,fade,15,1.5,0.3,8223,0.04852243706676396,0.6228870242004134,0.32859053873282257,-0.1140824516599781,-0.3802748388665937
SPY_morning_0930_1115_BASELINE,fade,15,1.5,0.5,8223,0.062021160160525356,0.43281040982609753,0.5051684300133771,-0.12337346467226074,-0.24674692934452147
SPY_morning_0930_1115_BASELINE,fade,15,1.5,0.75,8223,0.07065547853581418,0.2776358993068223,0.6517086221573635,-0.10224370667639547,-0.13632494223519395
SPY_morning_0930_1115_BASELINE,fade,15,1.5,1.0,8223,0.07430378207466862,0.17742916210628723,0.7482670558190442,-0.06597348899428432,-0.06597348899428432
SPY_morning_0930_1115_BASELINE,fade,15,1.5,1.5,8223,0.07783047549556123,0.08074911832664478,0.841420406177794,-0.004377964246625319,-0.002918642831083546
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,0.15,8223,0.450200656694637,0.5462726498844704,0.003526693420892618,-0.014410798978475008,-0.0960719931898334
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,0.2,8223,0.5305849446673964,0.4613887875471239,0.008026267785479753,-0.012690015809315352,-0.06345007904657675
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,0.25,8223,0.5889578012890673,0.3982731363249422,0.012769062385990515,-0.01122461388787548,-0.04489845555150192
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,0.3,8223,0.6349264258786331,0.34598078560136203,0.019092788520004865,-0.008555271798613647,-0.028517572662045493
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,0.5,8223,0.7311200291864283,0.21306092666909887,0.05581904414447282,0.0031375410434148067,0.006275082086829613
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,0.75,8223,0.7789128055454214,0.12416393043901253,0.0969232640155661,0.023713973002553814,0.03161863067007175
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,1.0,8223,0.792289918521221,0.0767359844339049,0.13097409704487414,0.04210750334427824,0.04210750334427824
SPY_morning_0930_1115_BASELINE,momentum,15,0.15,1.5,8223,0.802140338076128,0.03344278243949897,0.1644168794843731,0.07015687705217073,0.046771251368113824
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,0.15,8223,0.4022862702176821,0.5895658518788763,0.008147877903441566,-0.007977623738295015,-0.0531841582553001
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,0.2,8223,0.4756171713486562,0.5076006323726134,0.01678219627873039,-0.0063966922047914414,-0.0319834610239572
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,0.25,8223,0.5283959625440837,0.44570108233004985,0.025902955125866472,-0.005746078073695732,-0.022984312294782927
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,0.3,8223,0.5735133163079168,0.39219263042685154,0.03429405326523167,-0.002955125866472085,-0.00985041955490695
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,0.5,8223,0.6686124285540557,0.2451659978110179,0.08622157363492643,0.011139486805302218,0.022278973610604436
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,0.75,8223,0.7157971543232396,0.14495926061048278,0.13924358506627751,0.03443998540678585,0.04591998054238113
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,1.0,8223,0.7295390976529247,0.09011309740970448,0.1803478049373708,0.05579472212088045,0.05579472212088045
SPY_morning_0930_1115_BASELINE,momentum,15,0.2,1.5,8223,0.740484008269488,0.03928006810166606,0.22023592362884592,0.0891766995013985,0.059451133000932334
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,0.15,8223,0.3170375775264502,0.6618022619481941,0.02116016052535571,-0.004159066034294045,-0.027727106895293636
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,0.2,8223,0.3788155174510519,0.5836069560987475,0.037577526450200655,-0.003076735984433913,-0.015383679922169564
